datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 11:08:10:194,1,0,645.0,1847.0,1202.0,127.66,27.53,100292.22,92.57,3.32,-6.6,-6.26,0.0,-0.0,0.0,15.2,15.51,-8.8,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:320,7,1,86.0,259.0,173.0,18.86,26.84,100251.73,95.97,5.64,-6.25,-5.26,-0.0,-0.0,-0.0,24.6,29.32,-27.35,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:447,1,0,645.0,1848.0,1203.0,127.81,27.53,100291.36,92.64,3.31,-6.58,-6.26,0.0,-0.0,-0.0,15.2,15.51,-5.72,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:574,7,1,86.0,258.0,172.0,18.71,26.84,100253.02,95.86,5.63,-6.25,-5.24,0.0,0.0,-0.0,19.72,29.73,-30.09,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:701,1,0,645.0,1848.0,1203.0,127.81,27.53,100290.58,92.71,3.33,-6.59,-6.26,-0.0,0.0,-0.0,15.37,15.41,-10.34,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:827,7,1,86.0,259.0,173.0,18.86,26.84,100254.3,95.7,5.64,-6.25,-5.24,-0.0,-0.0,0.0,25.57,29.73,-28.6,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:10:954,1,0,645.0,1848.0,1203.0,127.81,27.53,100293.34,92.48,3.31,-6.58,-6.27,0.0,0.0,-0.0,15.2,15.51,-5.72,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:081,7,1,86.0,258.0,172.0,18.71,26.84,100254.2,95.76,5.64,-6.24,-5.23,0.0,0.0,-0.0,15.81,29.9,-28.6,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:208,1,0,645.0,1848.0,1203.0,127.81,27.53,100294.07,92.42,3.33,-6.57,-6.29,-0.0,0.0,-0.0,13.96,15.6,-7.26,31.02,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:335,7,1,86.0,258.0,172.0,18.71,26.84,100253.46,95.83,5.65,-6.26,-5.23,-0.0,0.0,-0.0,28.5,29.32,-28.35,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:461,1,0,645.0,1848.0,1203.0,127.81,27.53,100292.13,92.58,3.33,-6.58,-6.28,0.0,-0.0,-0.0,15.2,15.31,-8.8,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:588,7,1,86.0,259.0,173.0,18.86,26.84,100253.52,95.82,5.64,-6.25,-5.23,-0.0,-0.0,-0.0,26.55,29.15,-28.85,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:715,1,0,645.0,1848.0,1203.0,127.81,27.53,100291.84,92.61,3.32,-6.59,-6.27,0.0,0.0,-0.0,15.55,15.7,6.6,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:842,7,1,86.0,258.0,172.0,18.71,26.84,100254.81,95.71,5.65,-6.25,-5.24,-0.0,0.0,-0.0,31.43,29.9,-28.6,29.74,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:11:968,1,0,645.0,1848.0,1203.0,127.81,27.52,100292.52,92.55,3.31,-6.58,-6.28,-0.0,-0.0,-0.0,15.55,16.09,0.44,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:095,7,1,86.0,259.0,173.0,18.86,26.85,100254.23,95.76,5.64,-6.25,-5.23,0.0,0.0,0.0,27.53,29.4,-27.1,29.76,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:222,1,0,645.0,1847.0,1202.0,127.66,27.53,100292.58,92.54,3.32,-6.59,-6.26,0.0,0.0,-0.0,13.44,15.89,-5.72,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:349,7,1,86.0,258.0,172.0,18.71,26.85,100253.73,95.8,5.64,-6.25,-5.23,-0.0,0.0,-0.0,30.46,29.48,-27.35,29.75,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:475,1,0,645.0,1847.0,1202.0,127.66,27.53,100293.04,92.5,3.32,-6.59,-6.27,0.0,0.0,-0.0,14.14,14.73,-11.88,31.03,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:602,7,1,86.0,258.0,172.0,18.71,26.85,100252.72,95.89,5.65,-6.26,-5.23,0.0,0.0,-0.0,20.69,29.15,-27.35,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:729,1,0,644.0,1846.0,1202.0,127.73,27.53,100290.85,92.69,3.32,-6.59,-6.29,-0.0,0.0,-0.0,14.49,15.12,-8.8,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:856,7,1,86.0,258.0,172.0,18.71,26.85,100253.73,95.8,5.64,-6.25,-5.23,-0.0,0.0,-0.0,20.69,29.15,-28.85,29.77,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:12:983,1,0,644.0,1845.0,1201.0,127.59,27.53,100293.51,92.46,3.32,-6.59,-6.27,0.0,0.0,-0.0,16.08,15.6,-4.18,31.04,ground_truth,inspection_ExFatLogger01.csv
2020/07/20 11:08:13:109,7,1,86.0,258.0,172.0,18.71,26.84,100253.86,95.79,5.64,-6.25,-5.24,0.0,-0.0,0.0,17.76,29.9,-31.09,29.75,ground_truth,inspection_ExFatLogger01.csv
