datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 20:27:13:457,2,2,219.0,1302.0,1083.0,147.02,29.02,100423.28,81.58,6.64,-5.23,-5.15,0.0,-0.0,0.0,-13.22,11.17,8.62,30.36,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:584,0,0,81.0,497.0,416.0,56.83,28.8,100415.64,82.22,-7.89,-4.37,-3.33,-0.0,-0.0,-0.0,16.33,16.44,-15.24,32.62,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:710,1,1,76.0,485.0,409.0,56.29,28.08,100463.64,78.19,5.63,-5.82,5.25,0.0,-0.01,0.01,-14.41,15.56,-14.1,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:837,2,2,219.0,1303.0,1084.0,147.18,29.02,100420.48,81.81,6.54,-5.25,-5.15,-0.0,0.0,-0.0,-14.04,11.66,11.92,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:13:964,0,0,81.0,497.0,416.0,56.83,28.8,100416.3,82.16,-7.77,-4.36,-3.25,-0.0,-0.0,0.0,17.0,15.57,-14.07,32.63,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:090,1,1,76.0,486.0,410.0,56.45,28.08,100464.84,78.09,5.53,-5.98,5.43,-0.01,-0.0,-0.01,-13.66,16.03,-14.68,30.03,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:217,2,2,220.0,1303.0,1083.0,146.9,29.02,100422.56,81.64,6.57,-5.27,-5.08,-0.0,0.0,-0.0,-12.95,11.66,6.96,30.37,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:344,0,0,81.0,498.0,417.0,56.99,28.8,100415.3,82.25,-7.92,-4.19,-3.33,0.0,-0.0,0.0,17.0,16.01,-14.65,32.61,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:471,1,1,76.0,485.0,409.0,56.29,28.08,100464.67,78.11,5.48,-5.9,5.37,0.0,0.0,-0.0,-9.21,15.47,-15.07,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:597,2,2,220.0,1305.0,1085.0,147.22,29.02,100422.21,81.67,6.6,-5.38,-5.08,-0.01,0.01,-0.01,-13.36,11.3,11.1,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:724,0,0,81.0,498.0,417.0,56.99,28.8,100416.32,82.16,-7.9,-4.29,-3.41,0.0,0.0,-0.0,17.0,15.57,-15.24,32.62,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:27:14:851,1,1,76.0,486.0,410.0,56.45,28.08,100462.97,78.25,5.53,-5.87,5.25,0.0,0.0,0.0,-15.15,15.28,-15.07,30.03,missing_pressure,storage_ExFatLogger08.csv
